Name;Target market;RESTRICTION;Operator/Registry;Notes
.com;commercial;;Verisign;"This is an open TLD; any person or entity is permitted to register. Though originally intended for use by for-profit business entities, for a number of reasons it became the main TLD for domain names and is currently used by all types of entities including nonprofits, schools, and private individuals. Domain name registrations may be successfully challenged if the holder cannot prove an outside relation justifying reservation of the name, to prevent squatting. It was originally administered by the United States Department of Defense."
.org;organization;;Public Interest Registry;"This is an open TLD; any person or entity is permitted to register. Originally intended for use by non-profit organizations, and still primarily used by some."
.net;network;;Verisign;"This is an open TLD; any person or entity is permitted to register. Originally intended for use by domains pointing to a distributed network of computers, or umbrella sites that act as the portal to a set of smaller websites."
.int;international;;Internet Assigned Numbers Authority;The .int TLD is strictly limited to organizations, offices, and programs endorsed by a treaty between two or more nations. However, a few grandfathered domains do not meet these criteria.
.edu;education;;Educause (via Verisign);The .edu TLD is limited to specific higher educational institutions such as, but not limited to, trade schools and universities. In the U.S., its use was restricted in 2001 to post-secondary institutions accredited by an agency on the list of nationally recognized accrediting agencies. This domain is therefore almost exclusively used by American colleges and universities. Some institutions, such as the Exploratorium, that do not meet the current registration criteria have grandfathered domain names.
.gov;government (U.S. national and state government agencies);;General Services Administration (via Verisign);The .gov TLD is limited to United States governmental entities and agencies as well as qualifying state, county and local municipal government agencies.
.mil;military (U.S. military);;United States Department of Defense;The .mil TLD is limited to divisions, services and agencies of the United States Department of Defense.
.arpa;"Address and Routing Parameter Area";;Originally assigned to the Advanced Research Projects Agency in the early days on the Internet, .arpa is now exclusively used as an Internet infrastructure TLD.;
.academy;Schools, military academies, online learning websites, PTAs & student portals, any site created to be educational on a particular topic;;Donuts Inc;
.accountant;Certified Public Accountants, tax advisors, corporate accountants, personal and business accountants, professional CPA organizations;;Global Registry Services Ltd;
.accountants;accountants and accounting firms;;Donuts Inc;
.active;general;;The Active Network;
.actor;Aspiring actors & their agents, theaters & movie studios, entertainment outlets & streaming video sites, movie review sites, celebrity gossip sites;;Donuts Inc;
.ads;advertising;;Charleston Road Registry Inc. (Google);
.adult;adult entertainment (pornography);For sites providing sexually explicit content, such as pornography.;ICM Registry;
.aero;air-transport industry;"Must verify eligibility for registration; only those in various categories of air-travel-related entities may register.";SITA;
.africa;African and pan-African topics, African Union;;ZA Central Registry;
.agency;Marketing and advertising agencies, PR or communications agencies, design firms, talent agencies, travel agencies, other related agencies;;Donuts Inc;
.airforce;Military recruiters, flight training schools, supply companies, military aircraft suppliers & repair companies, Air Force members and veterans;;Donuts Inc;
.amazon;Reserved for Amazon;Amazon;;
.analytics;Reserved for SAS Institute;Campus IP LLC;;
.apartments;Property (apartment) managers, condominium/apartment developers, college websites/centers, city guides & community centers;;Donuts Inc;
.app;Apps;;Google;
.apple;Apple;Reserved for Apple;Apple;
.archi;architects and architect firms;Restricted to individuals and organizations that can verify participation in architecture industry.;STARTING DOT LIMITED;
.army;Military recruiter, army supply stores, military training schools, army members and veterans;;Donuts Inc;
.art;artists, museums, art galleries, dealers, service providers and contractors;;UK Creative Ideas;
.associates;Accountants, law firms, consulting firms, real estate agencies, health & medical groups;;Donuts Inc;
.attorney;Independent attorneys and law firms of any size, legal services entities, elected officials and judges, professional organizations, law students;;Donuts Inc;
.auction;Auction houses & online auctions, car and truck auction, B2B commodity auctions, charity auctions for non-profits and schools, buyer and seller communities;;Donuts Inc;
.audible;Reserved for Audible;;Amazon Registry Services, Inc.;
.audio;stereo/sound systems, music;;Uniregistry;
.author;writers and authors;;Amazon Registry Services, Inc.;
.auto;vehicles;Cars Registry Limited;;
.autos;vehicles;;DERAutos;
.aws;Reserved for Amazon Web Services;;Amazon Registry Services, Inc.;
.baby;For selling baby products;;Johnson & Johnson Services, Inc.;
.band;Music venues, ticket sale/resale sites, music band & musician sites, school band sites, music review sites;;Donuts Inc;
.bank;banks;Restricted to banks and savings associations;fTLD Registry Services, LLC;
.bar;Bars and related industry;;Punto 2012;
.barefoot;Reserved for Gallo Vineyards Inc.;Gallo Vineyards, Inc.;;
.bargains;Online retailers, large and small, “sale” sections on retail websites, discount & overstock sites, bargain hunters, frugal-living bloggers;;Donuts Inc;
.baseball;baseball;;MLB Advanced Media DH, LLC;
.basketball;basketball;;Fédération Internationale de Basketball (FIBA);
.beauty;beauty products and services;L'Oréal;;
.beer;breweries and beer aficionados;;Minds + Machines;
.best;—;;BestTLD Pty Ltd;
.bestbuy;Reserved for Best Buy;;BBY Solutions, Inc.;
.bet;gambling;;Afilias plc;
.bible;"Respect for the Bible, God as He is revealed in the Bible, and orthodox Christianity";;American Bible Society;
.bid;auctions;;Global Registry Services Ltd;
.bike;Bicycle & motorcycle enthusiasts, bike retailers & gear shops, bike repair shops, biking event organizers, bike or motorcycle clubs;;Donuts Inc;
.bingo;Bingo halls, casinos, online & casual gaming sites, travel agencies;;Donuts Inc;
.bio;Organic agriculture;"Open TLD; any person or entity is permitted to register; however, registrants who are producers, transformers and retailers, or otherwise involved in the field of agriculture, food and farming must comply with the Principles of Organic Agriculture.";Afilias;
.biz;business;"Open TLD; any person or entity is permitted to register; however, registrations may be challenged later if they are not held by commercial entities in accordance with the domain's charter. This TLD was created to provide relief for the .com TLD, where many names have already been taken.";NeuStar;
.black;those who like the color black;;Afilias;
.blackfriday;Black Friday, retail;;Uniregistry;
.blockbuster;Reserved for Blockbuster LLC;Dish DBS Corporation;;
.blog;Blogs;;Automattic;
.blue;those who like the color blue;;Afilias;
.boo;—;;Google;
.book;books;;Amazon Registry Services, Inc.;
.boots;Reserved for Boots Company Ltd;;THE BOOTS COMPANY PLC;
.boston;websites related to the city of Boston, Massachusetts USA;;Boston TLD Management, LLC;
.bot;"Restricted to online bots using approved frameworks (Amazon Lex, Dialogflow, Gupshup, Microsoft Bot Framework, and Pandorabots) Amazon allows users to contact them if they have a bot outside of these frameworks.";;Amazon Registry Services, Inc.;
.boutique;Specialty online retailers, vintage shops, designers, artists and artisans, craftspeople;;Donuts;
.box;individuals and businesses, in order to promote personal cloud storage;;NS1 Limited;
.broadway;Broadway theatre;;Celebrate Broadway, Inc.;
.broker;DOTBROKER REGISTRY LTD;;;
.build;construction industry;Open Top Level Domain;Plan Bee LLC;
.builders;Contractors, cubcontractors, commercial/residential architects, interior designers;;Donuts Inc;
.business;Creative businesses & agencies, freelancers & independent consultants, any other business looking to differentiate from the competition;;Donuts Inc;
.buy;sales;Amazon Registry Services, INC;;
.buzz;marketing and social networking;;DOTSTRATEGY;
.cab;Airline & travel-related products or services, city guides & tourist attractions, transportation businesses, hotels, hostels, B&Bs, lodging, tourist attractions;;Donuts Inc;
.cafe;Cafes, restaurants, delis, cafeterias, coffee shops & coffee stands, student lounges, mobile food/beverage vendors, cooking schools;;Donuts Inc;
.call;Amazon Registry Services, Inc.;;;
.cam;entertainment;;Acwebconnecting—;
.camera;Professional photographers, camera and equipment retailers, photo studios & photography schools, wedding and specialty photographers, anyone who wants to share photos online;;Donuts Inc;
.camp;Camping/RV sites, travel writers & bloggers, outdoor adventure companies, summer camps for kids, hotels, hostels, lodges, bed & breakfast lodging;;Donuts Inc;
.cancerresearch;Organizations, research institutes and individuals interested in ending cancer through research;;Australian Cancer Research Foundation;
.capital;Mortgage companies, financial services professionals, investment services, venture capital investors;;Donuts Inc;
.car;vehicles;Cars Registry Limited;;
